rc: 0
Subscribed: 1 (0,)
MQTTExample/LED 0 x: -0.138213, y: 1.852692, orientation: 222.793518
MQTTExample/LED 0 x: -0.138213, y: 1.852692, orientation: 222.796539
MQTTExample/LED 0 x: -0.138213, y: 1.852692, orientation: 222.797913
MQTTExample/LED 0 x: -0.138213, y: 1.852692, orientation: 222.800339
MQTTExample/LED 0 x: -0.138213, y: 1.852692, orientation: 222.889786
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.897491
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.901413
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.905396
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.896103
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.805679
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.815552
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.806030
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.801025
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.790894
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.656845
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.660782
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.661438
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.659897
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.661575
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.722702
MQTTExample/LED 0 x: -0.186004, y: 2.104813, orientation: 222.717148
MQTTExample/LED 0 x: -0.215764, y: 1.895420, orientation: 222.714432
MQTTExample/LED 0 x: -0.215764, y: 1.895420, orientation: 222.716171
MQTTExample/LED 0 x: -0.215764, y: 1.895420, orientation: 222.716492
MQTTExample/LED 0 x: -0.215764, y: 1.895420, orientation: 222.747925
MQTTExample/LED 0 x: -0.215764, y: 1.895420, orientation: 222.742416
MQTTExample/LED 0 x: -0.215764, y: 1.895420, orientation: 222.747803
MQTTExample/LED 0 x: -0.215764, y: 1.895420, orientation: 222.759659
MQTTExample/LED 0 x: -0.215764, y: 1.895420, orientation: 222.752548
MQTTExample/LED 0 x: -0.215764, y: 1.895420, orientation: 222.766312
MQTTExample/LED 0 x: -0.215764, y: 1.895420, orientation: 222.767761
MQTTExample/LED 0 x: 0.012027, y: 1.961605, orientation: 222.766891
MQTTExample/LED 0 x: 0.012027, y: 1.961605, orientation: 222.766373
MQTTExample/LED 0 x: 0.012027, y: 1.961605, orientation: 222.772202
MQTTExample/LED 0 x: 0.012027, y: 1.961605, orientation: 222.770721
MQTTExample/LED 0 x: 0.012027, y: 1.961605, orientation: 222.985229
MQTTExample/LED 0 x: 0.012027, y: 1.961605, orientation: 222.981766
MQTTExample/LED 0 x: -0.212808, y: 2.075362, orientation: 222.980621
MQTTExample/LED 0 x: -0.212808, y: 2.075362, orientation: 222.983688
MQTTExample/LED 0 x: -0.212808, y: 2.075362, orientation: 222.975037
MQTTExample/LED 0 x: -0.212808, y: 2.075362, orientation: 223.031036
MQTTExample/LED 0 x: 0.210535, y: 3.246551, orientation: 223.032257
MQTTExample/LED 0 x: 0.309382, y: 3.803439, orientation: 223.027023
MQTTExample/LED 0 x: 0.291363, y: 4.061478, orientation: 223.023895
MQTTExample/LED 0 x: 0.291363, y: 4.061478, orientation: 223.019516
MQTTExample/LED 0 x: 0.039623, y: 4.128908, orientation: 223.074280
MQTTExample/LED 0 x: 0.039623, y: 4.128908, orientation: 223.078415
MQTTExample/LED 0 x: 0.122191, y: 3.702351, orientation: 223.075043
MQTTExample/LED 0 x: 0.122191, y: 3.702351, orientation: 223.067215
MQTTExample/LED 0 x: 0.205068, y: 3.433241, orientation: 223.070480
MQTTExample/LED 0 x: 0.205068, y: 3.433241, orientation: 223.219925
MQTTExample/LED 0 x: 0.205068, y: 3.433241, orientation: 223.221954
